                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.571,                 4.6396,                 4.3854,                0.00116,                0.05357,                0.00088,                0.00037,                 4.4521,                 4.5047,                 4.1592,                      0,                      0,                      0
                      2,                 4.5391,                 4.6603,                 4.2697,                0.00119,                0.05357,                0.00369,                 0.0012,                 4.4518,                 4.5045,                 4.1586,              9.072e-06,              9.072e-06,              9.072e-06
                      3,                 4.5552,                 4.7015,                   4.36,                0.00123,                0.05357,                0.00162,                 0.0007,                 4.4518,                 4.5042,                 4.1585,             1.8108e-05,             1.8108e-05,             1.8108e-05
                      4,                 4.4208,                 4.5425,                 4.3307,                0.00125,                0.05357,                0.00116,                0.00049,                 4.4517,                 4.5045,                 4.1588,             2.7108e-05,             2.7108e-05,             2.7108e-05
                      5,                  4.356,                  4.565,                 4.2998,                0.00159,                0.05357,                0.00175,                0.00054,                 4.4518,                 4.5045,                 4.1589,             3.6072e-05,             3.6072e-05,             3.6072e-05
                      6,                 4.6613,                 4.5331,                 4.3639,                 0.0017,                0.05357,                0.00147,                0.00056,                 4.4519,                 4.5042,                 4.1585,                4.5e-05,                4.5e-05,                4.5e-05
                      7,                 4.7635,                  4.563,                 4.3437,                0.00127,                0.07143,                0.00111,                0.00037,                  4.452,                  4.504,                 4.1584,             5.3892e-05,             5.3892e-05,             5.3892e-05
                      8,                 4.2992,                 4.5356,                 4.3081,                0.00127,                0.07143,                0.00194,                 0.0005,                 4.4518,                 4.5069,                 4.1584,             6.2748e-05,             6.2748e-05,             6.2748e-05
                      9,                 4.2549,                  4.507,                 4.2926,                0.00127,                0.07143,                0.00352,                0.00072,                 4.4518,                 4.5069,                 4.1587,             7.1568e-05,             7.1568e-05,             7.1568e-05
                     10,                 4.7774,                 4.5341,                 4.2743,                0.00127,                0.07143,                0.00405,                0.00082,                 4.4517,                 4.5096,                 4.1587,             8.0352e-05,             8.0352e-05,             8.0352e-05
                     11,                 4.5191,                 4.3112,                 4.3207,                0.00127,                0.07143,                0.00107,                0.00035,                 4.4521,                 4.5096,                 4.1588,               8.91e-05,               8.91e-05,               8.91e-05
                     12,                 4.2961,                  4.665,                 4.2185,                0.00127,                0.07143,                0.00264,                 0.0006,                 4.4521,                 4.5125,                 4.1591,             9.7812e-05,             9.7812e-05,             9.7812e-05
                     13,                 4.0567,                 4.3318,                 4.2554,                0.00127,                0.07143,                0.00365,                0.00069,                 4.4523,                 4.5163,                  4.159,             0.00010649,             0.00010649,             0.00010649
                     14,                 4.3236,                 4.4119,                 4.1938,                0.00127,                0.07143,                0.00114,                0.00037,                 4.4521,                 4.5164,                  4.159,             0.00011513,             0.00011513,             0.00011513
                     15,                 4.2418,                 4.2421,                 4.1861,                 0.0013,                0.07143,                0.00796,                0.00115,                 4.4532,                 4.5169,                 4.1592,             0.00012373,             0.00012373,             0.00012373
                     16,                 4.1146,                  4.277,                 4.1561,                0.00159,                0.08929,                0.00175,                0.00052,                 4.4553,                 4.5162,                 4.1603,              0.0001323,              0.0001323,              0.0001323
                     17,                 4.3228,                 4.1384,                 4.1602,                0.00127,                0.07143,                0.00214,                0.00062,                 4.4556,                 4.5191,                 4.1606,             0.00014083,             0.00014083,             0.00014083
                     18,                 4.3429,                 4.2016,                 4.1553,                0.00127,                0.07143,                0.00214,                0.00062,                 4.4556,                 4.5191,                 4.1606,             0.00014933,             0.00014933,             0.00014933
                     19,                 4.4301,                 4.2085,                  4.172,                 0.0013,                0.07143,                0.00174,                0.00059,                 4.4546,                  4.523,                 4.1617,             0.00015779,             0.00015779,             0.00015779
                     20,                 4.0963,                 4.0624,                 4.1016,                 0.0013,                0.07143,                0.00174,                0.00059,                 4.4546,                  4.523,                 4.1617,             0.00016621,             0.00016621,             0.00016621
                     21,                 4.3186,                 4.2134,                 4.1205,                0.00169,                0.08929,                 0.0035,                0.00065,                 4.4553,                 4.5302,                 4.1625,              0.0001746,              0.0001746,              0.0001746
                     22,                 4.3991,                 4.0685,                 4.0893,                0.00169,                0.08929,                 0.0035,                0.00065,                 4.4553,                 4.5302,                 4.1625,             0.00018295,             0.00018295,             0.00018295
                     23,                 4.4904,                 4.0622,                  4.133,                0.00173,                0.08929,                0.00342,                0.00061,                 4.4556,                 4.5322,                 4.1646,             0.00019127,             0.00019127,             0.00019127
                     24,                 4.4984,                 3.8322,                  4.115,                0.00173,                0.08929,                0.00342,                0.00061,                 4.4556,                 4.5322,                 4.1646,             0.00019955,             0.00019955,             0.00019955
                     25,                 4.3723,                 3.9181,                 4.0463,                0.00169,                0.08929,                0.00339,                0.00064,                 4.4583,                 4.5394,                  4.166,             0.00020779,             0.00020779,             0.00020779
                     26,                 4.1114,                 3.8807,                  4.104,                0.00169,                0.08929,                0.00339,                0.00064,                 4.4583,                 4.5394,                  4.166,               0.000216,               0.000216,               0.000216
                     27,                   4.29,                 3.7221,                 4.0665,                0.00162,                0.08929,                0.00343,                0.00063,                 4.4601,                 4.5487,                 4.1683,             0.00022417,             0.00022417,             0.00022417
                     28,                 4.2971,                 3.6589,                 4.0365,                0.00162,                0.08929,                0.00343,                0.00063,                 4.4601,                 4.5487,                 4.1683,             0.00023231,             0.00023231,             0.00023231
                     29,                 4.2109,                 3.8241,                 4.1299,                0.00162,                0.08929,                 0.0038,                0.00071,                 4.4595,                 4.5622,                  4.171,             0.00024041,             0.00024041,             0.00024041
                     30,                 3.8995,                 3.5975,                 4.0282,                0.00162,                0.08929,                 0.0038,                0.00071,                 4.4595,                 4.5622,                  4.171,             0.00024847,             0.00024847,             0.00024847
                     31,                 4.1055,                 3.7784,                 4.0954,                0.00162,                0.08929,                0.00406,                0.00081,                 4.4624,                 4.5711,                 4.1737,              0.0002565,              0.0002565,              0.0002565
                     32,                  4.296,                 3.4538,                 3.9799,                0.00162,                0.08929,                0.00406,                0.00081,                 4.4624,                 4.5711,                 4.1737,             0.00026449,             0.00026449,             0.00026449
                     33,                 4.1509,                  3.872,                 4.0792,                0.00165,                0.08929,                0.00535,                0.00091,                 4.4654,                 4.5768,                 4.1766,             0.00027245,             0.00027245,             0.00027245
                     34,                 3.9821,                  3.794,                 4.0222,                0.00165,                0.08929,                0.00535,                0.00091,                 4.4654,                 4.5768,                 4.1766,             0.00028037,             0.00028037,             0.00028037
